secs, nsecs, belief, value
147,472000000,,ObstacleOnTheWayUpdating
147,529000000,,KnowsTargetLocationFalse
147,825000000,,KnowsTargetLocationFalse
148,191000000,,KnowsTargetLocationFalse
148,480000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
148,647000000,,KnowsTargetLocationFalse
149,12000000,,KnowsTargetLocationFalse
149,275000000,,CameraUpFalse
149,488000000,,ObstacleOnTheWayMissing
149,513000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,BLOCKED
149,775000000,,CameraDownTrue
149,973000000,,ObstacleOnTheWayFalse
150,280000000,,ObstacleOnTheWayFalse
150,535000000,,KnowsTargetLocationMissing
150,624000000,,ObstacleOnTheWayFalse
150,925000000,,ObstacleOnTheWayFalse
151,341000000,,ObstacleOnTheWayFalse
151,567000000,,KnowsTargetLocationMissing
151,591000000,,KnowsTargetLocationUpdating
151,686000000,,ObstacleOnTheWayFalse
152,65000000,,ObstacleOnTheWayFalse
152,370000000,,ObstacleOnTheWayFalse
152,601000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
152,643000000,,ObstacleOnTheWayFalse
153,60000000,,ObstacleOnTheWayFalse
153,429000000,,ObstacleOnTheWayFalse
153,510000000,,CameraDownFalse
153,619000000,,KnowsTargetLocationMissing
153,638000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,BLOCKED
154,10000000,,CameraUpTrue
154,167000000,,KnowsTargetLocationFalse
154,473000000,,KnowsTargetLocationFalse
154,647000000,,ObstacleOnTheWayMissing
154,784000000,,KnowsTargetLocationFalse
155,188000000,,KnowsTargetLocationFalse
155,546000000,,KnowsTargetLocationFalse
155,704000000,,ObstacleOnTheWayMissing
155,728000000,,ObstacleOnTheWayUpdating
155,927000000,,KnowsTargetLocationFalse
156,260000000,,KnowsTargetLocationFalse
156,644000000,,KnowsTargetLocationFalse
156,734000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
