secs, nsecs, belief, value
131,226000000,,Obstacle_160.870952410736,0.0750799838676,-0.0359698252985,0.874922244589
131,484000000,,ObstacleOnTheWayTrue
131,499000000,,Obstacle_160.813111055252,0.0768786184429,-0.037523244791,0.874922244589
131,791000000,,ObstacleOnTheWayTrue
131,795000000,,Obstacle_160.813111055252,0.0768786184429,-0.037523244791,0.817598864999
131,966000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
132,135000000,,ObstacleOnTheWayTrue
132,161000000,,Obstacle_160.731329854023,0.0763982970674,-0.0374956081703,0.817598864999
132,461000000,,ObstacleOnTheWayTrue
132,461000000,,Obstacle_160.731329854023,0.0763982970674,-0.0374956081703,0.736264881556
132,680000000,,Obstacle_160.731329854023,0.0763982970674,-0.0374956081703,0.736264881556
132,790000000,,CameraDownFalse
132,824000000,,ObstacleOnTheWayTrue
132,974000000,,Obstacle_160.731329854023,0.0763982970674,-0.0374956081703,0.736264881556
133,292000000,,CameraUpTrue
133,484000000,,KnowsTargetLocationFalse
133,798000000,,KnowsTargetLocationFalse
134,135000000,,KnowsTargetLocationTrue
134,555000000,,KnowsTargetLocationTrue
134,571000000,,DrivingFalse
134,573000000,,ReachedToTargetTrue
134,580000000,,TargetReached1,1.43
136,865000000,,ReachedToTargetFalse
136,867000000,,NumberOfTargets2
136,867000000,,ReachedUpdatedTrue
139,902000000,,ReachedToTargetFalse
139,902000000,,ReachedUpdatedFalse
139,910000000,,CurrentTarget2
139,910000000,,TargetChosenTrue
142,970000000,,TargetChosenFalse
142,970000000,,SearchingTargetTrue
144,146000000,,KnowsTargetLocationMissing
144,153000000,,KnowsTargetLocationUpdating
145,165000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
146,15000000,,CameraDownFalse
147,597000000,,Target_FoundTrue
147,597000000,,SearchingTargetFalse
150,537000000,,Target_FoundFalse
160,595000000,,DrivingTrue
160,751000000,,KnowsTargetLocationFalse
160,945000000,,ObstacleOnTheWayMissing
160,967000000,,ObstacleOnTheWayUpdating
161,143000000,,KnowsTargetLocationFalse
161,496000000,,KnowsTargetLocationFalse
161,842000000,,KnowsTargetLocationFalse
161,980000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
,,
Down time: , 47.315
Up time: , 24.877
