secs, nsecs, belief, value
119,201000000,,KnowsTargetLocationUpdating
119,259000000,,ObstacleOnTheWayTrue
119,275000000,,Obstacle_160.754789142396,0.0835553347901,-0.0375600138892,0.760328151586
119,392000000,,Obstacle_210.70463616747,0.0834296941526,-0.0388214854397,0.710619272258
119,723000000,,ObstacleOnTheWayTrue
119,738000000,,Obstacle_700.669774019862,0.082803252407,-0.0388172818802,0.675988459712
120,211000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
120,313000000,,ObstacleOnTheWayTrue
120,326000000,,Obstacle_700.669774019862,0.082803252407,-0.0388172818802,0.675988459712
120,445000000,,Obstacle_730.82556887435,0.0834631337585,-0.0375581134912,0.830626674795
120,598000000,,ObstacleOnTheWayTrue
120,757000000,,Obstacle_730.82556887435,0.0834631337585,-0.0375581134912,0.830626674795
120,875000000,,ObstacleOnTheWayTrue
120,974000000,,Obstacle_730.82556887435,0.0834631337585,-0.0375581134912,0.830626674795
121,47000000,,CameraDownFalse
121,200000000,,ObstacleOnTheWayTrue
121,301000000,,Obstacle_591.4121476189,0.0792501329522,-0.0341716100806,1.41478237905
121,397000000,,Obstacle_730.692859983413,0.0823730876836,-0.0388040528071,0.698817599023
121,566000000,,CameraUpTrue
121,611000000,,ObstacleOnTheWayTrue
121,611000000,,Obstacle_591.4121476189,0.0792501329522,-0.0341716100806,1.41478237905
121,709000000,,Obstacle_730.692859983413,0.0823730876836,-0.0388040528071,0.698817599023
121,881000000,,KnowsTargetLocationFalse
122,0,,ObstacleOnTheWayTrue
122,1000000,,Obstacle_591.4121476189,0.0792501329522,-0.0341716100806,1.41478237905
122,82000000,,Obstacle_730.692859983413,0.0823730876836,-0.0388040528071,0.698817599023
122,336000000,,KnowsTargetLocationTrue
122,669000000,,KnowsTargetLocationTrue
123,74000000,,KnowsTargetLocationTrue
123,279000000,,ObstacleOnTheWayMissing
123,291000000,,ObstacleOnTheWayUpdating
123,425000000,,KnowsTargetLocationTrue
123,820000000,,KnowsTargetLocationTrue
124,207000000,,KnowsTargetLocationTrue
